TimestampLocal,TimestampLocal.total_count,parkade
2016-09-17 0:00,1481,Thunderbird
2016-09-18 0:00,364,Thunderbird
2016-09-19 0:00,574,Thunderbird
2016-09-20 0:00,1948,Thunderbird
2016-09-21 0:00,1678,Thunderbird
2016-09-22 0:00,1953,Thunderbird
2016-09-23 0:00,1830,Thunderbird
2016-09-24 0:00,951,Thunderbird
2016-09-25 0:00,404,Thunderbird
2016-09-26 0:00,1609,Thunderbird
2016-09-27 0:00,1877,Thunderbird
2016-09-28 0:00,1546,Thunderbird
2016-09-29 0:00,1592,Thunderbird
2016-09-30 0:00,413,Thunderbird
2016-10-01 0:00,470,Thunderbird
2016-10-02 0:00,541,Thunderbird
2016-10-03 0:00,1394,Thunderbird
2016-10-04 0:00,2362,Thunderbird
2016-10-05 0:00,1544,Thunderbird
2016-10-06 0:00,1402,Thunderbird
2016-10-07 0:00,1008,Thunderbird
2016-10-08 0:00,475,Thunderbird
2016-10-09 0:00,809,Thunderbird
2016-10-10 0:00,169,Thunderbird
2016-10-11 0:00,1775,Thunderbird
2016-10-12 0:00,1568,Thunderbird
2016-10-13 0:00,1786,Thunderbird
2016-10-14 0:00,1628,Thunderbird
2016-10-15 0:00,755,Thunderbird
2016-10-16 0:00,597,Thunderbird
2016-10-17 0:00,1629,Thunderbird
2016-10-18 0:00,1981,Thunderbird
2016-10-19 0:00,1936,Thunderbird
2016-10-20 0:00,2220,Thunderbird
2016-10-21 0:00,3046,Thunderbird
2016-10-22 0:00,780,Thunderbird
2016-10-23 0:00,656,Thunderbird
2016-10-24 0:00,1769,Thunderbird
2016-10-25 0:00,1798,Thunderbird
2016-10-26 0:00,1521,Thunderbird
2016-10-27 0:00,1522,Thunderbird
2016-10-28 0:00,997,Thunderbird
2016-10-29 0:00,900,Thunderbird
2016-10-30 0:00,416,Thunderbird
2016-10-31 0:00,1624,Thunderbird
2016-11-01 0:00,1404,Thunderbird
2016-11-02 0:00,1431,Thunderbird
2016-11-03 0:00,1807,Thunderbird
2016-11-04 0:00,1596,Thunderbird
2016-11-05 0:00,535,Thunderbird
2016-11-06 0:00,710,Thunderbird
2016-11-07 0:00,1311,Thunderbird
2016-11-08 0:00,1448,Thunderbird
2016-11-09 0:00,877,Thunderbird
2016-11-10 0:00,1174,Thunderbird
